platform,channel,creative,bid,date,impressions,clicks,conversions,revenue,cost,ctr,cvr,roas
Google,Search,Creative A,1.0,2024-01-15,5000,425,60,900,382,0.085,0.141,2.36
Google,Search,Creative A,1.0,2024-02-10,4800,408,58,870,367,0.085,0.142,2.37
Google,Search,Creative A,1.0,2024-03-20,5200,442,63,945,398,0.085,0.143,2.37
Google,Search,Creative A,2.0,2024-01-18,4000,368,58,870,442,0.092,0.158,1.97
Google,Search,Creative A,2.0,2024-02-12,3800,350,55,825,420,0.092,0.157,1.96
Google,Search,Creative A,2.0,2024-03-22,4200,386,61,915,464,0.092,0.158,1.97
Google,Search,Creative B,1.0,2024-01-20,4500,351,61,915,316,0.078,0.174,2.90
Google,Search,Creative B,1.0,2024-02-15,4300,335,58,870,302,0.078,0.173,2.88
Google,Search,Creative B,1.0,2024-03-25,4700,367,64,960,330,0.078,0.174,2.91
Google,Display,Creative A,1.0,2024-01-10,6000,192,16,240,173,0.032,0.083,1.39
Google,Display,Creative A,1.0,2024-02-05,5800,186,15,225,167,0.032,0.081,1.35
Google,Display,Creative A,1.0,2024-03-15,6200,198,17,255,178,0.032,0.086,1.43
Meta,Search,Creative A,1.0,2024-01-12,4800,312,37,555,281,0.065,0.119,1.98
Meta,Search,Creative A,1.0,2024-02-08,4600,299,35,525,270,0.065,0.117,1.94
Meta,Search,Creative A,1.0,2024-03-18,5000,325,39,585,293,0.065,0.120,2.00
Meta,Display,Creative A,1.0,2024-01-08,5000,140,11,165,126,0.028,0.079,1.31
Meta,Display,Creative A,1.0,2024-02-03,4800,134,10,150,121,0.028,0.075,1.24
Meta,Display,Creative A,1.0,2024-03-13,5200,146,12,180,131,0.028,0.082,1.37
